fastqs,sample,library_type
/home/wk93w/stevens_johnson/HKGL3DRXX/fastqs/BRI-793,BRI-793,Gene Expression
/home/wk93w/stevens_johnson/HKGL3DRXX/fastqs/BRI-7954,BRI-794,Antibody Capture
